"start","end","open","close","high","low","volume"
"2019-07-13T08:00:00.000Z","2019-07-13T08:00:00.000Z",11452,11529,11596,11452,206.41370772000002
"2019-07-13T09:00:00.000Z","2019-07-13T09:00:00.000Z",11535,11521.101615,11597.9163195,11480,121.94445669
"2019-07-13T10:00:00.000Z","2019-07-13T10:00:00.000Z",11521,11265,11521,11100,2138.98224221
"2019-07-13T11:00:00.000Z","2019-07-13T11:00:00.000Z",11264,11280,11300,11111.98902261,743.80085043
"2019-07-13T12:00:00.000Z","2019-07-13T12:00:00.000Z",11277,11301.05481176,11366,11215,624.8909891
"2019-07-13T13:00:00.000Z","2019-07-13T13:00:00.000Z",11301.05481176,11316,11400,11234.45850994,556.2974106
"2019-07-13T14:00:00.000Z","2019-07-13T14:00:00.000Z",11315,11281,11400,11256,572.09635102
"2019-07-13T15:00:00.000Z","2019-07-13T15:00:00.000Z",11280,11379,11380,11213,282.12065945
"2019-07-13T16:00:00.000Z","2019-07-13T16:00:00.000Z",11379,11287,11425,11267,468.82841733
"2019-07-13T17:00:00.000Z","2019-07-13T17:00:00.000Z",11286,11330,11368,11233,260.42425020999997
"2019-07-13T18:00:00.000Z","2019-07-13T18:00:00.000Z",11330.11494901,11090,11330.40233724,11021,1399.87627927
"2019-07-13T19:00:00.000Z","2019-07-13T19:00:00.000Z",11090,11163,11188,10955,953.8414017700001
"2019-07-13T20:00:00.000Z","2019-07-13T20:00:00.000Z",11163,10885,11169,10830,1400.94055216
"2019-07-13T21:00:00.000Z","2019-07-13T21:00:00.000Z",10884,10986,10987,10805,703.9655695600001
"2019-07-13T22:00:00.000Z","2019-07-13T22:00:00.000Z",10986,11226.425325,11376,10942,1955.0734942
"2019-07-13T23:00:00.000Z","2019-07-13T23:00:00.000Z",11227,11312,11330,11208,313.53675584
"2019-07-14T00:00:00.000Z","2019-07-14T00:00:00.000Z",11312,11255,11360,11216,216.79222507
"2019-07-14T01:00:00.000Z","2019-07-14T01:00:00.000Z",11254.09877099,11348,11399,11202,270.62410991
"2019-07-14T02:00:00.000Z","2019-07-14T02:00:00.000Z",11354,11288.63855098,11400,11266,144.02289386
"2019-07-14T03:00:00.000Z","2019-07-14T03:00:00.000Z",11288,11243,11318,11221,221.29247831
"2019-07-14T04:00:00.000Z","2019-07-14T04:00:00.000Z",11238,11143,11303,11125,393.96782489
"2019-07-14T05:00:00.000Z","2019-07-14T05:00:00.000Z",11143,11169,11186,11118,281.36933036
"2019-07-14T06:00:00.000Z","2019-07-14T06:00:00.000Z",11169,11192,11265.95065628,11169,156.36877624
"2019-07-14T07:00:00.000Z","2019-07-14T07:00:00.000Z",11188.51833905,11091,11189,11069,416.44411004
"2019-07-14T08:00:00.000Z","2019-07-14T08:00:00.000Z",11092,11031,11153,11024,256.2274923
"2019-07-14T09:00:00.000Z","2019-07-14T09:00:00.000Z",11025,10805.08163115,11090,10640,2660.43265883
"2019-07-14T10:00:00.000Z","2019-07-14T10:00:00.000Z",10805.08163115,10711.84680592,10858,10600,2403.62198883
"2019-07-14T11:00:00.000Z","2019-07-14T11:00:00.000Z",10711.84680592,10665,10782,10555,832.07325822
"2019-07-14T12:00:00.000Z","2019-07-14T12:00:00.000Z",10662,10701,10747,10559,1341.03521339
"2019-07-14T13:00:00.000Z","2019-07-14T13:00:00.000Z",10701,10631,10771,10533,864.8202811900001
"2019-07-14T14:00:00.000Z","2019-07-14T14:00:00.000Z",10631,10624,10700,10545,449.3897463
"2019-07-14T15:00:00.000Z","2019-07-14T15:00:00.000Z",10623,10410.01878815,10640,10333,2794.23135496
"2019-07-14T16:00:00.000Z","2019-07-14T16:00:00.000Z",10411,10574,10615.90297257,10350,1502.9016835300001
"2019-07-14T17:00:00.000Z","2019-07-14T17:00:00.000Z",10572,10561,10685,10524.81276843,635.31029227
"2019-07-14T18:00:00.000Z","2019-07-14T18:00:00.000Z",10561,10470,10592,10325,1035.49729241
"2019-07-14T19:00:00.000Z","2019-07-14T19:00:00.000Z",10470,10495.95060322,10544,10393,851.10140666
"2019-07-14T20:00:00.000Z","2019-07-14T20:00:00.000Z",10489,10633,10700,10378,980.48972261
"2019-07-14T21:00:00.000Z","2019-07-14T21:00:00.000Z",10634,10650,10690,10529,402.63380741000003
"2019-07-14T22:00:00.000Z","2019-07-14T22:00:00.000Z",10650,10497,10664,10480,555.08878683
"2019-07-14T23:00:00.000Z","2019-07-14T23:00:00.000Z",10490,10204,10490,10122,2829.13326178
"2019-07-15T00:00:00.000Z","2019-07-15T00:00:00.000Z",10199,10011,10210,9920.5,3648.03061414
"2019-07-15T01:00:00.000Z","2019-07-15T01:00:00.000Z",10011,10049,10147,9991,618.12031969
"2019-07-15T02:00:00.000Z","2019-07-15T02:00:00.000Z",10046,10132,10132,9880,1490.6696855
"2019-07-15T03:00:00.000Z","2019-07-15T03:00:00.000Z",10130,10258,10279,10077,1007.0605349599999
"2019-07-15T04:00:00.000Z","2019-07-15T04:00:00.000Z",10259,10156.57054334,10288,10156,344.58034144
"2019-07-15T05:00:00.000Z","2019-07-15T05:00:00.000Z",10156,10188,10197,10064,322.78351941
"2019-07-15T06:00:00.000Z","2019-07-15T06:00:00.000Z",10188,10172,10215.08767286,10090,231.64750942
"2019-07-15T07:00:00.000Z","2019-07-15T07:00:00.000Z",10172.5269822,10345,10375,10172.5269822,817.86920034
"2019-07-15T08:00:00.000Z","2019-07-15T08:00:00.000Z",10345,10206,10351,10169,494.72042346
"2019-07-15T09:00:00.000Z","2019-07-15T09:00:00.000Z",10205.99074368,10341.19384,10396,10137,634.32881897
"2019-07-15T10:00:00.000Z","2019-07-15T10:00:00.000Z",10339.33925,10294,10390,10293,438.9851051
"2019-07-15T11:00:00.000Z","2019-07-15T11:00:00.000Z",10294.13424203,10303,10386,10271,321.90498049
"2019-07-15T12:00:00.000Z","2019-07-15T12:00:00.000Z",10303,10101,10321,10092,683.64735016
"2019-07-15T13:00:00.000Z","2019-07-15T13:00:00.000Z",10100,10395,10480.255877,10081,932.07559875
